id,short_code,name,github_link,oomp_key,md5_6
electronic_breakout_board_mcu_atmega328_shennie,bbat328,Electronic Breakout Board Mcu Atmega328 Shennie,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_breakout_board_mcu_atmega328_shennie,oomp_electronic_breakout_board_mcu_atmega328_shennie,09dfb7
electronic_button_3_5_mm_x_6_mm_x_2_5_mm_surface_mount,b3560s,Electronic Button 3 5 Mm X 6 Mm X 2 5 Mm Surface Mount,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_button_3_5_mm_x_6_mm_x_2_5_mm_surface_mount,oomp_electronic_button_3_5_mm_x_6_mm_x_2_5_mm_surface_mount,daac53
electronic_capacitor_0603_22_pico_farad,c6pf22,Electronic Capacitor 0603 22 Pico Farad,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_capacitor_0603_22_pico_farad,oomp_electronic_capacitor_0603_22_pico_farad,ed43fc
electronic_capacitor_0603_100_nano_farad,c6nf100,Electronic Capacitor 0603 100 Nano Farad,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_capacitor_0603_100_nano_farad,oomp_electronic_capacitor_0603_100_nano_farad,8cfd91
electronic_capacitor_0603_10_nano_farad,c6nf10,Electronic Capacitor 0603 10 Nano Farad,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_capacitor_0603_10_nano_farad,oomp_electronic_capacitor_0603_10_nano_farad,33c290
electronic_capacitor_0603_1_micro_farad,c6uf1,Electronic Capacitor 0603 1 Micro Farad,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_capacitor_0603_1_micro_farad,oomp_electronic_capacitor_0603_1_micro_farad,e7a23d
electronic_capacitor_0603_10_micro_farad,c6uf10,Electronic Capacitor 0603 10 Micro Farad,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_capacitor_0603_10_micro_farad,oomp_electronic_capacitor_0603_10_micro_farad,01a693
electronic_capacitor_0603_4_7_micro_farad,c6uf4d7,Electronic Capacitor 0603 4 7 Micro Farad,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_capacitor_0603_4_7_micro_farad,oomp_electronic_capacitor_0603_4_7_micro_farad,6ab38c
electronic_capacitor_0402_100_nano_farad,c4nf100,Electronic Capacitor 0402 100 Nano Farad,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_capacitor_0402_100_nano_farad,oomp_electronic_capacitor_0402_100_nano_farad,59771c
electronic_capacitor_0402_1_micro_farad,c4uf1,Electronic Capacitor 0402 1 Micro Farad,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_capacitor_0402_1_micro_farad,oomp_electronic_capacitor_0402_1_micro_farad,161ca7
electronic_capacitor_0402_10_nano_farad,c4nf10,Electronic Capacitor 0402 10 Nano Farad,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_capacitor_0402_10_nano_farad,oomp_electronic_capacitor_0402_10_nano_farad,6ab827
electronic_capacitor_0402_22_nano_farad,c4nf22,Electronic Capacitor 0402 22 Nano Farad,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_capacitor_0402_22_nano_farad,oomp_electronic_capacitor_0402_22_nano_farad,1680a3
