id,oomp_key,id_no_class,id_no_type,md5_6,name,short_code,short_code_upper,classification,type,size,color,description_main,description_extra,manufacturer,part_number,short_name
electronic_breakout_board_mcu_atmega328_shennie,oomp_electronic_breakout_board_mcu_atmega328_shennie,breakout_board_mcu_atmega328_shennie,mcu_atmega328_shennie,09dfb7,Electronic Breakout Board Mcu Atmega328 Shennie,bbat328,BBAT328,electronic,breakout_board,,mcu,atmega328,shennie,,,
electronic_button_3_5_mm_x_6_mm_x_2_5_mm_surface_mount,oomp_electronic_button_3_5_mm_x_6_mm_x_2_5_mm_surface_mount,button_3_5_mm_x_6_mm_x_2_5_mm_surface_mount,3_5_mm_x_6_mm_x_2_5_mm_surface_mount,daac53,Electronic Button 3 5 Mm X 6 Mm X 2 5 Mm Surface Mount,b3560s,B3560S,electronic,button,3_5_mm_x_6_mm_x_2_5_mm,surface_mount,,,,,
electronic_capacitor_0603_22_pico_farad,oomp_electronic_capacitor_0603_22_pico_farad,capacitor_0603_22_pico_farad,0603_22_pico_farad,ed43fc,Electronic Capacitor 0603 22 Pico Farad,c6pf22,C6PF22,electronic,capacitor,0603,,22_pico_farad,,,,
electronic_capacitor_0603_100_nano_farad,oomp_electronic_capacitor_0603_100_nano_farad,capacitor_0603_100_nano_farad,0603_100_nano_farad,8cfd91,Electronic Capacitor 0603 100 Nano Farad,c6nf100,C6NF100,electronic,capacitor,0603,,100_nano_farad,,,,
electronic_capacitor_0603_10_nano_farad,oomp_electronic_capacitor_0603_10_nano_farad,capacitor_0603_10_nano_farad,0603_10_nano_farad,33c290,Electronic Capacitor 0603 10 Nano Farad,c6nf10,C6NF10,electronic,capacitor,0603,,10_nano_farad,,,,
electronic_capacitor_0603_1_micro_farad,oomp_electronic_capacitor_0603_1_micro_farad,capacitor_0603_1_micro_farad,0603_1_micro_farad,e7a23d,Electronic Capacitor 0603 1 Micro Farad,c6uf1,C6UF1,electronic,capacitor,0603,,1_micro_farad,,,,
electronic_capacitor_0603_10_micro_farad,oomp_electronic_capacitor_0603_10_micro_farad,capacitor_0603_10_micro_farad,0603_10_micro_farad,01a693,Electronic Capacitor 0603 10 Micro Farad,c6uf10,C6UF10,electronic,capacitor,0603,,10_micro_farad,,,,
electronic_capacitor_0603_4_7_micro_farad,oomp_electronic_capacitor_0603_4_7_micro_farad,capacitor_0603_4_7_micro_farad,0603_4_7_micro_farad,6ab38c,Electronic Capacitor 0603 4 7 Micro Farad,c6uf4d7,C6UF4D7,electronic,capacitor,0603,,4_7_micro_farad,,,,
electronic_capacitor_0402_100_nano_farad,oomp_electronic_capacitor_0402_100_nano_farad,capacitor_0402_100_nano_farad,0402_100_nano_farad,59771c,Electronic Capacitor 0402 100 Nano Farad,c4nf100,C4NF100,electronic,capacitor,0402,,100_nano_farad,,,,
electronic_capacitor_0402_1_micro_farad,oomp_electronic_capacitor_0402_1_micro_farad,capacitor_0402_1_micro_farad,0402_1_micro_farad,161ca7,Electronic Capacitor 0402 1 Micro Farad,c4uf1,C4UF1,electronic,capacitor,0402,,1_micro_farad,,,,
electronic_capacitor_0402_10_nano_farad,oomp_electronic_capacitor_0402_10_nano_farad,capacitor_0402_10_nano_farad,0402_10_nano_farad,6ab827,Electronic Capacitor 0402 10 Nano Farad,c4nf10,C4NF10,electronic,capacitor,0402,,10_nano_farad,,,,
electronic_capacitor_0402_22_nano_farad,oomp_electronic_capacitor_0402_22_nano_farad,capacitor_0402_22_nano_farad,0402_22_nano_farad,1680a3,Electronic Capacitor 0402 22 Nano Farad,c4nf22,C4NF22,electronic,capacitor,0402,,22_nano_farad,,,,
electronic_capacitor_0402_22_pico_farad,oomp_electronic_capacitor_0402_22_pico_farad,capacitor_0402_22_pico_farad,0402_22_pico_farad,800826,Electronic Capacitor 0402 22 Pico Farad,c4pf22,C4PF22,electronic,capacitor,0402,,22_pico_farad,,,,
electronic_capacitor_3216_avx_a_tantalum_4_7_micro_farad_16_volt,oomp_electronic_capacitor_3216_avx_a_tantalum_4_7_micro_farad_16_volt,capacitor_3216_avx_a_tantalum_4_7_micro_farad_16_volt,3216_avx_a_tantalum_4_7_micro_farad_16_volt,951eeb,Electronic Capacitor 3216 Avx A Tantalum 4 7 Micro Farad 16 Volt,catuf4d716v,CATUF4D716V,electronic,capacitor,3216_avx_a,tantalum,4_7_micro_farad,16_volt,,,
